Type of Customer (Wait to see where they go) ,Total Time on Property,Time spent in Queue,Time Spent At the Pump (0 if not at the pump at all),Time Spent in Store (0 if Not in the store),Time Entered,At Pump,Finish Pump,Leave,,Possible Customer Types,,
Pump Only,0:04:11,0:00:06,0:03:51,0:00:00,0:40:56,0:41:02,0:44:53,0:45:07,,,,
Pump Only,0:03:49,0:00:49,0:02:43,0:00:00,0:41:07,0:41:56,0:44:39,0:44:56,,,,
Pump Only,0:05:11,0:00:19,0:04:02,0:00:00,0:41:46,0:42:05,0:46:07,0:46:57,,,,
Pump Only,0:03:35,0:00:30,0:03:01,0:00:00,0:42:31,0:43:01,0:46:02,0:46:06,,,,
Pump Only,0:02:34,0:00:07,0:02:21,0:00:00,0:42:33,0:42:40,0:45:01,0:45:07,,,,
Store and Pump,0:04:04,0:00:04,0:01:13,0:02:47,0:42:40,0:42:44,0:43:57,0:46:44,,,,
Pump Only,0:02:06,0:00:12,0:01:48,0:00:00,0:42:55,0:43:07,0:44:55,0:45:01,,,,
Store and Pump,0:06:50,0:00:03,0:03:08,0:03:09,0:43:06,0:43:09,0:46:17,0:49:56,,,,
Pump Only,0:03:51,0:00:05,0:03:38,0:00:00,0:43:56,0:44:01,0:47:39,0:47:47,,,,
Pump Only,0:03:30,0:00:11,0:03:02,0:00:00,0:44:02,0:44:13,0:47:15,0:47:32,,,,
Pump Only,0:04:05,0:00:05,0:03:58,0:00:00,0:44:07,0:44:12,0:48:10,0:48:12,,,,
Pump Only,0:03:10,0:00:02,0:03:03,0:00:00,0:44:56,0:44:58,0:48:01,0:48:06,,,,
Pump Only,0:03:03,0:00:13,0:02:47,0:00:00,0:45:33,0:45:46,0:48:33,0:48:36,,,,
Store and Pump,0:05:46,0:00:03,0:02:10,0:03:33,0:45:47,0:45:50,0:48:00,0:51:33,,,,
Pump Only,0:03:19,0:01:03,0:02:04,0:00:00,0:45:56,0:46:59,0:49:03,0:49:15,,,,
Pump Only,0:02:31,0:00:10,0:02:12,0:00:00,0:46:21,0:46:31,0:48:43,0:48:52,,,,
Pump Only,0:02:39,0:00:08,0:02:25,0:00:00,0:46:59,0:47:07,0:49:32,0:49:38,,,,
